"","aa","newdata"
"1",2018-10-01,3.3103
"2",2018-09-01,3.2532
"3",2018-08-01,3.202
"4",2018-07-01,3.1464
"5",2018-06-01,3.0952
"6",2018-05-01,3.0528
"7",2018-04-01,3.0172
"8",2018-03-01,2.9558
"9",2018-02-01,2.9327
"10",2018-01-01,3.0086
"11",2017-12-01,2.9461
"12",2017-11-01,2.9691
"13",2017-10-01,2.9061
"14",2017-09-01,2.9275
"15",2017-08-01,2.8963
"16",2017-07-01,2.8183
"17",2017-06-01,2.8165
"18",2017-05-01,2.7555
"19",2017-04-01,2.6848
"20",2017-03-01,2.4325
"21",2017-02-01,2.4413
"22",2017-01-01,2.4758
"23",2016-12-01,2.4202
"24",2016-11-01,2.4484
"25",2016-10-01,2.4676
"26",2016-09-01,2.468
"27",2016-08-01,2.4645
"28",2016-07-01,2.468
"29",2016-06-01,2.429
"30",2016-05-01,2.3546
"31",2016-04-01,2.2847
"32",2016-03-01,2.2942
"33",2016-02-01,2.2306
"34",2016-01-01,2.22
"35",2015-12-01,2.213
"36",2015-11-01,2.1786
"37",2015-10-01,2.1944
"38",2015-09-01,2.2016
"39",2015-08-01,2.192
"40",2015-07-01,2.1639
"41",2015-06-01,2.1782
"42",2015-05-01,2.1551
"43",2015-04-01,2.1416
"44",2015-03-01,2.109
"45",2015-02-01,2.1833
"46",2015-01-01,2.1849
"47",2014-12-01,2.2591
"48",2014-11-01,2.2923
"49",2014-10-01,2.2872
"50",2014-09-01,2.2771
"51",2014-08-01,2.2868
"52",2014-07-01,2.307
"53",2014-06-01,2.3035
"54",2014-05-01,2.225
"55",2014-04-01,2.2182
"56",2014-03-01,2.1783
"57",2014-02-01,2.174
"58",2014-01-01,2.1654
"59",2013-12-01,2.2618
"60",2013-11-01,2.2634
"61",2013-10-01,2.2429
"62",2013-09-01,2.2298
"63",2013-08-01,2.1883
"64",2013-07-01,2.195
"65",2013-06-01,2.1509
"66",2013-05-01,2.1337
"67",2013-04-01,2.1147
"68",2013-03-01,2.0465
"69",2013-02-01,2.0692
"70",2013-01-01,2.0878
"71",2012-12-01,2.0481
"72",2012-11-01,2.0476
"73",2012-10-01,2.0406
"74",2012-09-01,2.0282
"75",2012-08-01,2.0113
"76",2012-07-01,1.9891
"77",2012-06-01,2.0037
"78",2012-05-01,1.9962
"79",2012-04-01,2.029
"80",2012-03-01,2.0047
"81",2012-02-01,1.9945
"82",2012-01-01,1.9774
"83",2011-12-01,1.9384
"84",2011-11-01,1.9665
"85",2011-10-01,1.9578
"86",2011-09-01,1.9253
"87",2011-08-01,1.9692
"88",2011-07-01,1.9708
"89",2011-06-01,1.9804
"90",2011-05-01,1.9667
"91",2011-04-01,1.9977
"92",2011-03-01,1.9653
"93",2011-02-01,1.9464
"94",2011-01-01,1.9316
"95",2010-12-01,1.8769
"96",2010-11-01,1.9037
"97",2010-10-01,1.9446
"98",2010-09-01,1.9397
"99",2010-08-01,1.8905
"100",2010-07-01,1.9022
"101",2010-06-01,1.8604
"102",2010-05-01,1.8563
"103",2010-04-01,1.9014
"104",2010-03-01,1.8948
"105",2010-02-01,1.8957
"106",2010-01-01,1.8825
"107",2009-12-01,1.894
"108",2009-11-01,1.9226
"109",2009-10-01,1.9133
"110",2009-09-01,1.8967
"111",2009-08-01,1.8888
"112",2009-07-01,1.8883
"113",2009-06-01,1.8946
"114",2009-05-01,1.9057
"115",2009-04-01,1.8575
"116",2009-03-01,1.8547
"117",2009-02-01,1.8403
"118",2009-01-01,1.8229
"119",2008-12-01,1.8336
"120",2008-11-01,1.77
"121",2008-10-01,1.7516
"122",2008-09-01,1.7833
"123",2008-08-01,1.8088
"124",2008-07-01,1.8313
"125",2008-06-01,1.8376
"126",2008-05-01,1.8251
"127",2008-04-01,1.8204
"128",2008-03-01,1.8139
"129",2008-02-01,1.8088
"130",2008-01-01,1.7961
"131",2007-12-01,1.7935
"132",2007-11-01,1.7926
"133",2007-10-01,1.7854
"134",2007-09-01,1.777
"135",2007-08-01,1.7473
"136",2007-07-01,1.7539
"137",2007-06-01,1.7559
"138",2007-05-01,1.7527
"139",2007-04-01,1.7589
"140",2007-03-01,1.7351
"141",2007-02-01,1.7241
"142",2007-01-01,1.7085
